trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,timing,p_yes_max,yes_price_min,yes_price_max
895,425,0.9318435754189944,370,0.8705882352941177,89.06,101.07,0.36276294466433323,-10.610000000000003,0.8189162011173186,0.88,0.3021135928174326,DEEP_TAIL_NO,open,0.05,0.05,
614,377,0.9104234527687296,328,0.870026525198939,80.49,89.69,0.4210651306509018,-10.040000000000006,0.7643485342019544,0.82,0.42540697025646,DEEP_TAIL_NO,open,0.05,0.1,
395,284,0.8962025316455696,249,0.8767605633802817,73.00999999999999,80.02,0.5594476132043739,-8.190000000000001,0.6936202531645569,0.72,0.6397981302725184,DEEP_TAIL_NO,open,0.05,0.15,
236,187,0.8559322033898306,157,0.839572192513369,54.56999999999999,59.22,0.599476118772832,-7.860000000000003,0.6049999999999999,0.645,0.9753355117906989,DEEP_TAIL_NO,open,0.05,0.25,
1467,443,0.9331970006816632,353,0.7968397291196389,82.49000000000001,100.97000000000001,0.2111516516717475,-12.13000000000001,0.864369461486026,0.92,0.1820490586198102,DEEP_TAIL_NO,open,0.1,0.01,
1244,437,0.927652733118971,354,0.8100686498855835,90.49000000000001,106.74,0.26448618153607273,-11.13000000000001,0.8418488745980708,0.9,0.22117908125085978,DEEP_TAIL_NO,open,0.1,0.03,
1016,434,0.9173228346456693,357,0.8225806451612904,92.85000000000001,106.81999999999998,0.3134947205802388,-10.380000000000003,0.8121850393700787,0.87,0.27319724952880126,DEEP_TAIL_NO,open,0.1,0.05,
717,415,0.8940027894002789,346,0.8337349397590361,85.29999999999998,96.28,0.3637899702436782,-9.940000000000005,0.759721059972106,0.81,0.3758059629540488,DEEP_TAIL_NO,open,0.1,0.1,
479,336,0.8747390396659708,283,0.8422619047619048,77.94999999999999,86.55000000000001,0.4640592346410991,-8.19,0.6940501043841337,0.72,0.545131945955649,DEEP_TAIL_NO,open,0.1,0.15,
296,236,0.8378378378378378,193,0.8177966101694916,60.42999999999999,66.28,0.5153531076613126,-8.020000000000001,0.6139189189189189,0.66,0.8100162725225575,DEEP_TAIL_NO,open,0.1,0.25,
123,97,0.7560975609756098,73,0.7525773195876289,35.09999999999999,37.48,0.623685826903603,-1.4399999999999977,0.45138211382113824,0.5,1.7350584378376142,TAIL_NO,open,0.2,0.45,
